employee_id,full_name,role,department,location,office,start_date,manager,email
E12847,Sarah Chen,Senior Data Scientist,Digital Workplace AI,Boston,Boston HQ,2023-01-15,Emily Watson,sarah.chen@cvshealth.com
E15392,Marcus Rodriguez,Data Scientist,Digital Workplace AI,Austin,Austin Tech Hub,2023-06-01,Sarah Chen,marcus.rodriguez@cvshealth.com
E16821,Priya Patel,Data Scientist,Digital Workplace AI,Remote,NYC Metro,2023-08-20,Sarah Chen,priya.patel@cvshealth.com
E14205,Alex Kim,Senior ML Engineer,Digital Workplace AI,Seattle,Seattle Office,2022-11-10,Emily Watson,alex.kim@cvshealth.com
E17033,Jordan Taylor,ML Engineer,Digital Workplace AI,Chicago,Chicago Office,2024-02-05,Alex Kim,jordan.taylor@cvshealth.com
E11256,Emily Watson,Product Manager,Digital Workplace AI,Boston,Boston HQ,2022-03-01,David Park,emily.watson@cvshealth.com
E18502,Raj Sharma,Data Scientist,Analytics Platform,Remote,SF Bay Area,2024-05-12,Lisa Wong,raj.sharma@cvshealth.com
E13478,Michelle Lee,Senior Engineer,Cloud Infrastructure,Austin,Austin Tech Hub,2021-09-15,Tom Chen,michelle.lee@cvshealth.com
E19204,Kevin Brown,Data Scientist,Customer Insights,Boston,Boston HQ,2024-07-01,Sarah Miller,kevin.brown@cvshealth.com
E12091,Lisa Chen,ML Engineer,Recommendations,Remote,Portland,2023-03-20,Alex Kim,lisa.chen@cvshealth.com
